firstdigit-enter,writing_time,writing_speed,mind_condition,time_key_before_enter_down,number_del,number_break
3124.0,3124.0,0.002240717029449424,2,2114.0,0,2
2106.0,2106.0,0.002849002849002849,2,1483.0,0,1
2667.0,2667.0,0.0026246719160104987,2,1948.0,0,2
3133.0,3133.0,0.0025534631343759975,2,2168.0,0,1
4034.0,4034.0,0.0019831432821021317,2,2899.0,0,2
1196.0,1196.0,0.004180602006688963,2,634.0,0,0
1849.0,1849.0,0.002163331530557058,2,1067.0,0,1
2951.0,2951.0,0.0020332090816672314,2,2455.0,1,2
4173.0,4173.0,0.0023963575365444525,2,1708.0,1,2
2285.0,2285.0,0.00350109409190372,2,1166.0,0,1
5504.0,5504.0,0.0023619186046511626,2,2008.0,0,2
10494.0,10494.0,0.002287021154945683,2,2091.0,0,4
9140.0,9140.0,0.0009846827133479213,2,3584.0,2,3
1829.0,1829.0,0.0032804811372334607,2,1154.0,0,1
2241.0,2241.0,0.004016064257028112,2,935.0,0,0
3090.0,3090.0,0.0016181229773462784,2,2375.0,0,1
17810.0,17810.0,0.0005053340819764177,2,16088.0,0,1
3163.0,3163.0,0.0018969332911792601,2,2483.0,0,0
14021.0,14021.0,0.0005705727123600314,2,12642.0,0,1
6328.0,6328.0,0.0014222503160556258,2,5415.0,0,2
5481.0,5481.0,0.001277139208173691,2,4618.0,0,1
1294.0,1294.0,0.0038639876352395673,3,558.0,0,1
5384.0,5384.0,0.0016716196136701336,3,3175.0,0,1
2868.0,2868.0,0.0017433751743375174,3,951.0,0,1
3316.0,3316.0,0.0024125452352231603,3,1025.0,0,2
3594.0,3594.0,0.0013912075681691708,3,2216.0,0,1
2117.0,2117.0,0.002834199338686821,3,1111.0,0,1
19667.0,19667.0,0.0002033863832816393,3,2968.0,3,1
2187.0,2187.0,0.003200731595793324,3,934.0,0,1
4097.0,4097.0,0.001952648279228704,3,1200.0,0,1
2189.0,2189.0,0.002740977615349475,3,901.0,0,1
12324.0,12324.0,0.0017851346965271017,3,1884.0,1,4
78347.0,78347.0,0.00031909326457937127,3,3135.0,32,16
10704.0,10704.0,0.0007473841554559044,3,5996.0,6,3
2919.0,2919.0,0.0034258307639602604,3,774.0,0,2
9448.0,9448.0,0.0017993226079593564,3,5037.0,0,2
15557.0,15557.0,0.0010927556726875363,3,1526.0,5,3
10212.0,10212.0,0.0012730121425773599,3,5429.0,0,2
2356.0,2356.0,0.0025466893039049238,3,971.0,0,1
6704.0,6704.0,0.0019391408114558472,3,2230.0,0,2
7049.0,7049.0,0.0019860973187686196,3,3510.0,0,2
4898.0,4898.0,0.002245814618211515,3,2068.0,0,1
2932.0,2932.0,0.0023874488403819918,1,1052.0,0,1
2524.0,2524.0,0.002377179080824089,1,614.0,0,1
9433.0,9433.0,0.0007420756917205555,1,1684.0,8,5
4069.0,4069.0,0.001966085033177685,1,979.0,0,1
5079.0,5079.0,0.002362669816893089,1,901.0,0,1
9838.0,9838.0,0.0012197601138442774,1,5680.0,0,1
