firstdigit-enter,writing_time,writing_speed,mind_condition,time_key_before_enter_down,number_del,number_break
9838.0,9838.0,0.0012197601138442774,1,5680.0,0,1
4535.0,4535.0,0.0015435501653803748,1,3154.0,0,1
1886.0,1886.0,0.0042417815482502655,1,743.0,0,1
6669.0,6669.0,0.000749737591842855,1,367.0,6,2
2089.0,2089.0,0.003829583532790809,1,753.0,0,1
3022.0,3022.0,0.0026472534745201853,1,362.0,1,1
1231.0,1231.0,0.00487408610885459,1,233.0,0,1
1428.0,1428.0,0.0035014005602240898,1,701.0,0,1
2378.0,2378.0,0.00336417157275021,1,747.0,0,1
3420.0,3420.0,0.0023391812865497076,1,1582.0,0,1
11092.0,11092.0,0.0005409304002884963,1,25.0,4,1
2284.0,2284.0,0.0035026269702276708,1,4.0,0,1
201.0,201.0,0.004975124378109453,1,198.0,0,0
206.0,206.0,0.0048543689320388345,1,204.0,0,0
209.0,209.0,0.004784688995215311,1,203.0,0,0
130.0,130.0,0.007692307692307693,1,125.0,0,0
169.0,169.0,0.005917159763313609,1,164.0,0,0
238.0,238.0,0.004201680672268907,1,232.0,0,0
225.0,225.0,0.0044444444444444444,1,220.0,0,0
200.0,200.0,0.005,1,195.0,0,0
152.0,152.0,0.006578947368421052,1,148.0,0,0
1196.0,1196.0,0.004180602006688963,1,634.0,0,0
2117.0,2117.0,0.002834199338686821,1,1111.0,0,1
3578.0,3578.0,0.002794857462269424,1,1620.0,0,1
2185.0,2185.0,0.004576659038901602,1,673.0,0,2
1740.0,1740.0,0.0028735632183908046,1,828.0,0,1
2666.0,2666.0,0.0018754688672168042,1,719.0,0,1
1668.0,1668.0,0.004796163069544364,1,438.0,0,1
1743.0,1743.0,0.002868617326448652,1,801.0,0,1
2799.0,2799.0,0.003929974991068239,1,759.0,0,2
1637.0,1637.0,0.0030543677458766036,1,939.0,0,1
2099.0,2099.0,0.0023820867079561697,1,1082.0,0,1
3113.0,3113.0,0.0016061676839061998,1,1548.0,0,1
14385.0,14385.0,0.0006951685783802572,1,23.0,1,1
1458.0,1458.0,0.003429355281207133,1,6.0,0,2
242.0,242.0,0.004132231404958678,1,238.0,0,0
170.0,170.0,0.0058823529411764705,1,162.0,0,0
172.0,172.0,0.005813953488372093,1,166.0,0,0
223.0,223.0,0.004484304932735426,1,217.0,0,0
115.0,115.0,0.008695652173913044,1,112.0,0,0
279.0,279.0,0.0035842293906810036,1,274.0,0,0
166.0,166.0,0.006024096385542169,1,162.0,0,0
140.0,140.0,0.007142857142857143,1,138.0,0,0
187.0,187.0,0.0053475935828877,1,186.0,0,0
1849.0,1849.0,0.002163331530557058,1,1067.0,0,1
19667.0,19667.0,0.0002033863832816393,1,2968.0,3,1
3398.0,3398.0,0.0011771630370806356,1,1601.0,0,1
1096.0,1096.0,0.0036496350364963502,1,591.0,0,1
1578.0,1578.0,0.0025348542458808617,1,761.0,0,0
5935.0,5935.0,0.0006739679865206403,1,4552.0,0,0
5417.0,5417.0,0.0007384160974709249,1,4362.0,0,0
1837.0,1837.0,0.002177463255307567,1,971.0,0,1
17307.0,17307.0,0.0015022823135147627,1,682.0,15,9
3234.0,3234.0,0.0012368583797155227,1,950.0,1,1
2449.0,2449.0,0.0016333197223356473,1,1005.0,0,1
2083.0,2083.0,0.0019203072491598655,1,1302.0,0,1
17450.0,17450.0,0.0013180515759312322,1,30.0,8,4
1392.0,1392.0,0.0028735632183908046,1,700.0,0,1
133.0,133.0,0.007518796992481203,1,129.0,0,0
97.0,97.0,0.010309278350515464,1,0.0,0,0
147.0,147.0,0.006802721088435374,1,140.0,0,0
163.0,163.0,0.006134969325153374,1,158.0,0,0
189.0,189.0,0.005291005291005291,1,184.0,0,0
238.0,238.0,0.004201680672268907,1,235.0,0,0
169.0,169.0,0.005917159763313609,1,165.0,0,0
179.0,179.0,0.00558659217877095,1,174.0,0,0
178.0,178.0,0.0056179775280898875,1,174.0,0,0
2951.0,2951.0,0.0020332090816672314,1,2455.0,1,2
2187.0,2187.0,0.003200731595793324,1,934.0,0,1
4303.0,4303.0,0.0018591680223100163,1,1641.0,0,2
1719.0,1719.0,0.004072134962187318,1,372.0,0,1
1264.0,1264.0,0.004746835443037975,1,535.0,0,1
2310.0,2310.0,0.0021645021645021645,1,417.0,0,1
2382.0,2382.0,0.0025188916876574307,1,714.0,1,1
2088.0,2088.0,0.0028735632183908046,1,1343.0,0,1
1273.0,1273.0,0.004713275726630008,1,419.0,0,1
1462.0,1462.0,0.0047879616963064295,1,618.0,0,1
1586.0,1586.0,0.0037831021437578815,1,787.0,0,1
2053.0,2053.0,0.0029225523623964927,1,959.0,0,2
2970.0,2970.0,0.0026936026936026937,1,26.0,0,1
2741.0,2741.0,0.0021889821233126595,1,590.0,2,3
215.0,215.0,0.004651162790697674,1,209.0,0,0
211.0,211.0,0.004739336492890996,1,206.0,0,0
194.0,194.0,0.005154639175257732,1,187.0,0,0
254.0,254.0,0.003937007874015748,1,249.0,0,0
166.0,166.0,0.006024096385542169,1,162.0,0,0
225.0,225.0,0.0044444444444444444,1,223.0,0,0
150.0,150.0,0.006666666666666667,1,148.0,0,0
201.0,201.0,0.004975124378109453,1,196.0,0,0
227.0,227.0,0.004405286343612335,1,223.0,0,0
4097.0,4097.0,0.001952648279228704,1,1200.0,0,1
4173.0,4173.0,0.0023963575365444525,1,1708.0,1,2
4447.0,4447.0,0.0015740948954351248,1,615.0,0,1
9713.0,9713.0,0.0007206836198908679,1,5901.0,0,1
12637.0,12637.0,0.0014243886998496478,1,807.0,7,7
2499.0,2499.0,0.004001600640256103,1,612.0,1,2
1977.0,1977.0,0.0035407182599898838,1,398.0,0,2
5307.0,5307.0,0.0032033163745995856,1,715.0,2,5
4173.0,4173.0,0.0023963575365444525,1,482.0,1,2
5891.0,5891.0,0.0016975046681378374,1,844.0,4,4
1545.0,1545.0,0.004530744336569579,1,719.0,0,0
6292.0,6292.0,0.001589319771137953,1,3473.0,0,1
6261.0,6261.0,0.0015971889474524837,1,1434.0,2,3
2292.0,2292.0,0.002617801047120419,1,36.0,0,2
2134.0,2134.0,0.004686035613870665,1,4.0,0,2
165.0,165.0,0.006060606060606061,1,162.0,0,0
160.0,160.0,0.00625,1,155.0,0,0
146.0,146.0,0.00684931506849315,1,140.0,0,0
144.0,144.0,0.006944444444444444,1,142.0,0,0
154.0,154.0,0.006493506493506494,1,150.0,0,0
218.0,218.0,0.0045871559633027525,1,209.0,0,0
229.0,229.0,0.004366812227074236,1,225.0,0,0
193.0,193.0,0.0051813471502590676,1,188.0,0,0
103.0,103.0,0.009708737864077669,1,96.0,0,0
2285.0,2285.0,0.00350109409190372,1,1166.0,0,1
2189.0,2189.0,0.002740977615349475,1,901.0,0,1
3006.0,3006.0,0.00166333998669328,1,1103.0,0,1
2928.0,2928.0,0.0034153005464480873,1,631.0,0,1
2920.0,2920.0,0.0027397260273972603,1,803.0,0,1
1264.0,1264.0,0.0031645569620253164,1,380.0,0,1
4035.0,4035.0,0.0037174721189591076,1,629.0,1,2
4346.0,4346.0,0.0018407731247123793,1,1004.0,0,2
3248.0,3248.0,0.002770935960591133,1,302.0,5,3
1703.0,1703.0,0.004110393423370522,1,738.0,0,1
3539.0,3539.0,0.0022605255721955355,1,1907.0,0,1
3194.0,3194.0,0.002504696305572949,1,1572.0,0,1
3959.0,3959.0,0.0017681232634503663,1,30.0,1,2
1933.0,1933.0,0.004138644593895499,1,770.0,0,1
165.0,165.0,0.006060606060606061,1,160.0,0,0
231.0,231.0,0.004329004329004329,1,226.0,0,0
103.0,103.0,0.009708737864077669,1,101.0,0,0
190.0,190.0,0.005263157894736842,1,186.0,0,0
154.0,154.0,0.006493506493506494,1,149.0,0,0
226.0,226.0,0.004424778761061947,1,221.0,0,0
158.0,158.0,0.006329113924050633,1,156.0,0,0
132.0,132.0,0.007575757575757576,1,128.0,0,0
154.0,154.0,0.006493506493506494,1,148.0,0,0
12324.0,12324.0,0.0017851346965271017,1,1884.0,1,4
5504.0,5504.0,0.0023619186046511626,1,2008.0,0,2
15019.0,15019.0,0.0013982289100472735,1,1020.0,3,3
15325.0,15325.0,0.0011092985318107667,1,4717.0,2,1
5668.0,5668.0,0.0029992942836979536,1,710.0,0,2
27040.0,27040.0,0.0005547337278106509,1,19834.0,2,3
7631.0,7631.0,0.0019656663608963437,1,381.0,2,3
10076.0,10076.0,0.0012901945216355697,1,2108.0,1,2
16712.0,16712.0,0.001077070368597415,1,2049.0,1,3
1593.0,1593.0,0.005649717514124294,1,445.0,0,1
15051.0,15051.0,0.000930170752773902,1,585.0,4,1
6618.0,6618.0,0.0025687518887881535,1,835.0,3,3
18801.0,18801.0,0.000851018562842402,1,1672.0,8,6
7514.0,7514.0,0.0023955283470854403,1,795.0,0,2
6102.0,6102.0,0.0027859718125204853,1,750.0,0,1
152.0,152.0,0.006578947368421052,1,149.0,0,0
215.0,215.0,0.004651162790697674,1,209.0,0,0
185.0,185.0,0.005405405405405406,1,181.0,0,0
203.0,203.0,0.0049261083743842365,1,199.0,0,0
125.0,125.0,0.008,1,120.0,0,0
198.0,198.0,0.005050505050505051,1,191.0,0,0
176.0,176.0,0.005681818181818182,1,172.0,0,0
215.0,215.0,0.004651162790697674,1,210.0,0,0
166.0,166.0,0.006024096385542169,1,158.0,0,0
78347.0,78347.0,0.00031909326457937127,1,3135.0,32,16
10494.0,10494.0,0.002287021154945683,1,2091.0,0,4
26259.0,26259.0,0.001066301077725732,1,4780.0,0,1
7346.0,7346.0,0.002450313095562211,1,704.0,0,3
