firstdigit-enter,writing_time,writing_speed,mind_condition,gulpease,time_key_before_enter_down,number_del,number_break
1264.0,1264.0,0.004746835443037975,2,100,535.0,0,1
2499.0,2499.0,0.004001600640256103,2,100,612.0,1,2
2920.0,2920.0,0.0027397260273972603,2,100,803.0,0,1
5668.0,5668.0,0.0029992942836979536,2,88,710.0,0,2
7270.0,7270.0,0.003301237964236589,2,96,787.0,0,3
4248.0,4248.0,0.0018832391713747645,2,100,2518.0,0,1
33344.0,33344.0,0.00017994241842610365,2,97,31411.0,0,1
3993.0,3993.0,0.005259203606311044,2,100,484.0,1,2
2323.0,2323.0,0.004304778303917348,2,100,523.0,0,1
2241.0,2241.0,0.004016064257028112,2,100,668.0,0,1
2776.0,2776.0,0.002161383285302594,2,76,1278.0,0,1
7137.0,7137.0,0.001120919153706039,2,100,5161.0,0,2
7579.0,7579.0,0.0017152658662092624,2,100,1387.0,4,3
1769.0,1769.0,0.00395703787450537,2,95,559.0,0,1
1634.0,1634.0,0.0030599755201958386,3,100,483.0,0,1
2016.0,2016.0,0.003472222222222222,3,95,267.0,0,1
2259.0,2259.0,0.003098716246126605,3,93,482.0,0,2
8745.0,8745.0,0.0010291595197255575,3,100,516.0,9,4
6669.0,6669.0,0.000749737591842855,3,100,367.0,6,2
2666.0,2666.0,0.0018754688672168042,3,100,719.0,0,1
5935.0,5935.0,0.0006739679865206403,3,100,4552.0,0,0
2310.0,2310.0,0.0021645021645021645,3,100,417.0,0,1
1977.0,1977.0,0.0035407182599898838,3,100,398.0,0,2
1264.0,1264.0,0.0031645569620253164,3,100,380.0,0,1
27040.0,27040.0,0.0005547337278106509,3,88,19834.0,2,3
7631.0,7631.0,0.0019656663608963437,3,88,381.0,2,3
12304.0,12304.0,0.0013816644993498049,3,96,300.0,5,3
5997.0,5997.0,0.0016675004168751042,3,100,3400.0,0,2
2319.0,2319.0,0.0021561017680034496,3,97,850.0,0,1
8118.0,8118.0,0.0006159152500615915,3,100,467.0,1,1
1985.0,1985.0,0.003526448362720403,3,100,317.0,0,1
1420.0,1420.0,0.0035211267605633804,3,100,268.0,0,1
2271.0,2271.0,0.0017613386173491853,3,76,1317.0,0,1
18383.0,18383.0,0.0010335636185606267,3,100,2952.0,5,1
2035.0,2035.0,0.003931203931203931,3,100,382.0,0,1
3962.0,3962.0,0.0017667844522968198,3,95,298.0,4,2
5283.0,5283.0,0.0015142911224682945,1,100,768.0,1,2
9028.0,9028.0,0.000664599025254763,1,95,940.0,4,5
4203.0,4203.0,0.0016654770402093743,1,93,1131.0,0,1
3655.0,3655.0,0.002188782489740082,1,100,415.0,0,1
2089.0,2089.0,0.003829583532790809,1,100,753.0,0,1
1668.0,1668.0,0.004796163069544364,1,100,438.0,0,1
5417.0,5417.0,0.0007384160974709249,1,100,4362.0,0,0
2382.0,2382.0,0.0025188916876574307,1,100,714.0,1,1
5307.0,5307.0,0.0032033163745995856,1,100,715.0,2,5
4035.0,4035.0,0.0037174721189591076,1,100,629.0,1,2
10076.0,10076.0,0.0012901945216355697,1,88,2108.0,1,2
4745.0,4745.0,0.004425711275026343,1,96,3428.0,1,2
2901.0,2901.0,0.002757669769045157,1,100,700.0,0,1
1670.0,1670.0,0.003592814371257485,1,97,335.0,0,1
2061.0,2061.0,0.002911208151382824,1,100,396.0,0,1
2175.0,2175.0,0.003218390804597701,1,100,704.0,0,1
1776.0,1776.0,0.0033783783783783786,1,100,331.0,1,2
1822.0,1822.0,0.0038419319429198683,1,76,420.0,0,1
10567.0,10567.0,0.0007570739093403993,1,100,7831.0,0,1
3903.0,3903.0,0.002818344862925954,1,100,1138.0,0,1
2198.0,2198.0,0.0031847133757961785,1,95,978.0,0,1
6181.0,6181.0,0.0011325028312570782,2,100,4479.0,0,1
22105.0,22105.0,0.00018095453517303776,2,95,1634.0,17,7
2429.0,2429.0,0.002881844380403458,2,93,1542.0,0,1
2043.0,2043.0,0.003915810083210965,2,100,928.0,0,1
3022.0,3022.0,0.0026472534745201853,2,100,362.0,1,1
1743.0,1743.0,0.002868617326448652,2,100,801.0,0,1
1837.0,1837.0,0.002177463255307567,2,100,971.0,0,1
2088.0,2088.0,0.0028735632183908046,2,100,1343.0,0,1
4173.0,4173.0,0.0023963575365444525,2,100,482.0,1,2
4346.0,4346.0,0.0018407731247123793,2,100,1004.0,0,2
16712.0,16712.0,0.001077070368597415,2,88,2049.0,1,3
21779.0,21779.0,0.0011019789705679784,2,96,4283.0,7,3
10188.0,10188.0,0.0008833922261484099,2,100,5691.0,4,2
10776.0,10776.0,0.0005567928730512249,2,97,9471.0,0,1
8029.0,8029.0,0.000747291069871715,2,100,7044.0,0,1
3236.0,3236.0,0.0021631644004944375,2,100,2227.0,0,1
1797.0,1797.0,0.0027824151363383415,2,100,935.0,0,1
6305.0,6305.0,0.0007930214115781126,2,76,5321.0,0,1
4455.0,4455.0,0.0017957351290684624,2,100,3232.0,0,1
6292.0,6292.0,0.0011125238397965672,2,100,1034.0,7,3
